# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000       38.969    10598.977
       1.001      488.700      317.836    14636.652
       2.002      718.900     1213.875    15091.031
       3.003      876.700     2251.871    15092.039
       4.005     1149.800     3552.754    15093.047
       5.006      922.600     4014.242    15094.055
       6.008      962.300     4967.262    15094.055
       7.009     1012.300     5220.012    15095.062
       8.010     1094.500     6016.535    15095.062
       9.011     1162.400     6124.469    15096.070
      10.013     1079.700     6405.711    15096.070
      11.014     1222.300     6863.105    15097.078
      12.015      959.700     7003.633    15097.078
      13.017     1052.700     7006.094    15097.078
      14.018     1181.300     7412.824    15097.078
      15.019     1174.300     7586.793    15097.078
      16.021     1099.500     7594.660    15097.078
      17.022     1149.200     7595.484    15097.078
      18.024     1045.100     7809.219    15097.078
      19.026     1200.900     7834.922    15104.133
      20.027     1575.800     7866.902    15104.133
      21.029      916.800     8078.691    15104.133
      22.030     1137.400     8086.188    15104.133
      23.031     1431.000     8088.715    15104.133
      24.033     1205.400     8164.004    15104.133
      25.034     1173.200     8240.422    15104.133
      26.036     1403.000     8300.922    15104.133
      27.037     1297.800     8302.625    15104.133
      28.038     1084.400     8353.316    15104.133
      29.039     1371.000     8357.402    15104.133
      30.041     1287.500     8395.715    15104.133
      31.042     1260.200     8396.555    15104.133
      32.053      995.200     8431.562    15104.133
      33.054     1300.800     8432.062    15104.133
      34.056     1137.300     8477.695    15104.133
      35.057     1236.300     8494.082    15104.133
      36.058     1071.500     8508.559    15104.133
      37.059     1028.500     8521.777    15104.133
      38.061     1068.800     8537.398    15104.133
      39.062     1053.500     8542.852    15104.133
      40.063      939.500     8548.480    15104.133
      41.065     1132.800     8555.074    15104.133
      42.066     1080.400     8564.844    15203.391
      43.068     1440.800     8577.957    15203.391
      44.069     1311.600     8623.242    15104.133
      45.081     1208.600     8623.965    15104.133
      46.082     1053.500     8624.945    15104.133
      47.083      960.700     8629.879    15168.133
      48.085     1637.700     8630.270    15168.133
      49.086      971.500     8631.445    15168.133
      50.088     1393.100     8632.254    15168.133
      51.089     1027.000     8632.578    15168.133
      52.090      873.800     8634.590    15168.133
      53.091     1814.500     8634.609    15168.133
      54.093     1035.700     8637.031    15168.133
      55.094     1380.900     8637.105    15168.133
      56.096     1137.400     8636.445    15168.133
      57.097     1251.700     8636.465    15168.133
      58.098     1181.100     8636.535    15168.133
      59.100     1352.900     8636.539    15168.133
      60.101     1505.600     8637.637    15168.133
      61.102     1165.300     8638.625    15168.133
      62.104     1856.900     8638.625    15168.133
      63.105     1115.100     8639.062    15168.133
      64.106     1596.800     8639.062    15168.133
      65.107     1302.000     8639.062    15168.133
      66.109     1426.000     8639.062    15168.133
      67.111     1734.200     8639.062    15168.133
      68.112     1152.400     8639.070    15168.133
      69.113     1448.000     8639.094    15168.133
      70.114     1599.700     8639.094    15168.133
      71.115     1291.100     8639.094    15168.133
      72.117     1434.300     8639.102    15168.133
      73.118     1477.800     8639.102    15168.133
      74.120     1246.100     8639.105    15168.133
      75.121     1645.500     8639.121    15168.133
      76.122     1383.100     8639.121    15168.133
      77.123     1465.000     8639.125    15168.133
      78.125     1707.000     8639.125    15168.133
      79.126     1653.700     8639.125    15168.133
      80.127     1512.800     8639.191    15168.133
      81.129     1862.800     8639.191    15168.133
      82.130     1678.700     8639.191    15168.133
      83.131     1546.600     8639.199    15168.133
      84.133     1799.000     8639.199    15168.133
      85.134     1696.600     8639.199    15168.133
      86.135     1804.500     8639.227    15168.133
      87.137     1832.900     8639.227    15168.133
      88.138     1428.800     8639.227    15168.133
      89.140     1711.500     8639.230    15168.133
      90.141     1580.500     8639.230    15168.133
      91.142     1265.000     8639.230    15168.133
      92.144     1706.300     8639.238    15168.133
      93.145     1466.800     8639.238    15168.133
      94.146     1092.500     8639.238    15168.133
      95.147     1387.000     8639.238    15168.133
      96.149     1574.100     8639.238    15168.133
      97.150     1220.000     8639.238    15168.133
      98.152     1516.400     8639.242    15168.133
      99.153     1303.200     8639.246    15168.133
     100.154     1046.300     8639.258    15168.133
     101.156     1599.500     8639.258    15168.133
     102.157     1356.900     8639.258    15168.133
     103.158     1221.300     8639.258    15168.133
     104.159     1362.000     8639.258    15168.133
     105.161     1366.400     8639.258    15168.133
     106.162     1527.900     8639.258    15168.133
     107.163     1605.700     8639.262    15168.133
     108.165     1723.000     8639.262    15168.133
     109.166     1418.000     8639.262    15168.133
     110.167     1745.600     8639.262    15168.133
     111.169     1635.800     8639.262    15168.133
     112.170     1578.700     8639.285    15168.133
     113.171     1301.200     8639.285    15168.133
     114.173     1878.900     8639.285    15168.133
     115.174     1419.900     8639.293    15168.133
     116.176     1649.600     8639.293    15168.133
     117.177     1325.600     8639.293    15168.133
     118.178     1659.700     8639.293    15168.133
     119.179     1587.800     8639.293    15168.133
     120.181     1321.400     8639.293    15168.133
     121.182     1581.800     8639.293    15168.133
     122.183     1576.600     8639.305    15168.133
     123.185     1453.400     8639.305    15168.133
     124.186     1374.100     8639.531    15168.133
     125.187     1682.700     8639.535    15168.133
     126.189     1326.300     8639.535    15168.133
