# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000       82.391     8198.637
       1.001       46.900      375.523     8198.637
       2.003       49.900      657.570     8198.637
       3.005       44.900      927.758     8198.637
       4.007       48.900     1214.695     8198.637
       5.008       45.900     1483.336     8198.637
       6.010       46.900     1770.023     8198.637
       7.012       45.900     2044.078     8198.637
       8.013       45.900     2318.379     8198.637
       9.015       46.900     2595.270     8198.637
      10.017       42.900     2838.902     8198.637
      11.018       49.900     3138.223     8198.637
      12.020       49.900     3420.527     8198.637
      13.022       36.900     3634.254     8198.637
      14.023       30.900     3816.270     8198.637
      15.025       25.000     3953.941     8198.637
      16.027       17.000     4050.879     8198.637
      17.028       10.000     4113.785     8198.637
      18.030     1124.100     4437.266     8766.695
      19.032     1382.800     5079.820     8766.695
      20.033      504.200     5966.027     8830.695
      21.035      405.400     6480.215     8830.695
      22.036      323.500     6895.199     8830.695
      23.038      245.600     7165.590     8830.695
      24.039      284.500     7394.277     8830.695
      25.041      178.700     7464.324     8830.695
      26.043      131.800     7489.758     8830.695
      27.044      149.800     7564.871     8830.695
      28.046      151.800     7643.375     8830.695
      29.047      158.700     7705.645     8830.695
      30.049      170.700     7788.938     8830.695
      31.050      147.800     7881.223     8830.695
      32.052      127.800     7937.191     8830.695
      33.054      157.700     8041.531     8830.695
      34.055      147.800     8104.320     8830.695
      35.057      132.800     8164.941     8830.695
      36.059       98.800     8193.918     8742.652
      37.060       40.900     8193.918     8742.652
      38.062       38.900     8193.918     8742.652
      39.063       40.900     8193.918     8742.652
      40.065       40.900     8193.918     8742.652
      41.066       48.900     8193.918     8742.652
      42.068       50.900     8193.918     8742.652
      43.069       43.900     8193.918     8742.652
      44.071       42.900     8193.918     8742.652
      45.073       41.900     8193.918     8742.652
      46.074       42.900     8193.918     8742.652
      47.076     1061.400     8193.980     8830.695
      48.077     1230.100     8194.012     8830.695
      49.079      486.200     8194.012     8830.695
      50.080      361.400     8194.012     8830.695
      51.082      243.600     8194.012     8830.695
      52.083      275.600     8194.012     8830.695
      53.085      258.600     8194.012     8830.695
      54.086      217.700     8194.012     8830.695
      55.088      249.600     8194.012     8830.695
      56.090      207.700     8194.012     8830.695
      57.091      224.700     8194.012     8830.695
      58.093      145.700     8194.012     8830.695
      59.095      154.700     8194.012     8830.695
      60.096      219.600     8194.012     8830.695
      61.098      185.700     8194.012     8830.695
      62.100      134.800     8194.012     8830.695
      63.101       40.900     8193.926     8742.652
      64.103       36.900     8193.926     8742.652
      65.105       38.900     8193.926     8742.652
      66.106       36.900     8193.926     8742.652
      67.108       38.900     8193.926     8742.652
      68.110       37.900     8193.926     8742.652
      69.111       38.900     8193.926     8742.652
      70.113       39.900     8193.926     8742.652
      71.115       37.900     8193.926     8742.652
      72.116       40.900     8193.926     8742.652
      73.118      386.300     8193.941     8830.695
      74.119     1582.000     8193.969     8830.695
      75.121      656.900     8194.023     8830.695
      76.123      370.400     8194.023     8830.695
      77.124      238.600     8194.023     8830.695
      78.126      193.700     8194.023     8830.695
      79.127      235.600     8194.023     8830.695
      80.129      204.700     8194.023     8830.695
      81.131      188.700     8194.023     8830.695
      82.132      164.700     8194.023     8830.695
